time,open,high,low,close,Volume,Volume MA
2020-04-15T09:00:00-03:00,5225,5273.5,5221,5246.475,233900,316901.5
2020-04-16T09:00:00-03:00,5253.5,5273,5206.5,5264.515,264870,307034.75
2020-04-17T09:00:00-03:00,5225.5,5280,5211.5,5252.62,263905,300553
2020-04-20T09:00:00-03:00,5290,5323.5,5268.5,5314.067,232765,295252.75
2020-04-22T09:00:00-03:00,5325,5467,5305.5,5400.281,366825,298772.25
2020-04-23T09:00:00-03:00,5455,5560,5404.5,5492.331,498315,309439.5
2020-04-24T09:00:00-03:00,5558,5751.5,5557,5687.606,571240,322564
2020-04-27T09:00:00-03:00,5542,5728.5,5535,5705.021,444320,327155
2020-04-28T09:00:00-03:00,5610,5624,5472.5,5510.356,421680,331024.25
2020-04-29T09:00:00-03:00,5460.5,5528.5,5335,5374.976,395395,337851
2020-04-30T09:00:00-03:00,5359.5,5499,5339.5,5457.213,391650,335441.25
2020-05-04T09:00:00-03:00,5619,5628.5,5529,5552.836,269980,332859.5
2020-05-05T09:00:00-03:00,5538,5614,5491.5,5585.566,277085,331404.75
2020-05-06T09:00:00-03:00,5606,5731.5,5606,5688.961,230300,328230.5
2020-05-07T09:00:00-03:00,5780,5884.5,5751,5843.367,414735,335313
2020-05-08T09:00:00-03:00,5803.5,5835.5,5725,5757.028,289760,334658.25
2020-05-11T09:00:00-03:00,5790,5848,5772,5834.287,272745,333693.75
2020-05-12T09:00:00-03:00,5805,5901.5,5749,5885.975,294840,333088
2020-05-13T09:00:00-03:00,5829.5,5950.5,5824,5933.852,319910,336620.5
2020-05-14T09:00:00-03:00,5928,5977.5,5808.5,5911.795,399345,342678.25
2020-05-15T09:00:00-03:00,5868,5882,5764.5,5845.523,291685,345567.5
2020-05-18T09:00:00-03:00,5788,5809,5698.5,5725.064,275300,346089
2020-05-19T09:00:00-03:00,5696,5772,5685.5,5730.017,292360,347511.75
2020-05-20T09:00:00-03:00,5724,5756.5,5672,5687.39,254780,348612.5
2020-05-21T09:00:00-03:00,5700,5709,5550,5569.868,414560,350999.25
2020-05-22T09:00:00-03:00,5577,5627.5,5525,5583.099,333905,342778.75
2020-05-25T09:00:00-03:00,5496,5531.5,5434.5,5462.216,178525,323143
2020-05-26T09:00:00-03:00,5388,5403,5334.5,5347.317,373615,319607.75
2020-05-27T09:00:00-03:00,5344.5,5361,5270.5,5283.446,352850,316166.25
2020-05-28T09:00:00-03:00,5283,5412,5282,5352.072,304280,311610.5
2020-05-29T09:00:00-03:00,5392,5469.5,5326,5385.369,433810,313718.5
2020-06-01T09:00:00-03:00,5340,5426,5317,5405.093,334490,316944
2020-06-02T09:00:00-03:00,5320,5346,5206,5227.669,343050,320242.25
2020-06-03T09:00:00-03:00,5217,5220,5023,5093.186,473900,332422.25
2020-06-04T09:00:00-03:00,5064.5,5148.5,5031.5,5113.303,416585,332514.75
2020-06-05T09:00:00-03:00,5066.5,5085.5,4940,4974.246,381600,337106.75
2020-06-08T09:00:00-03:00,4970,4982,4823.5,4884.784,319840,339461.5
2020-06-09T09:00:00-03:00,4875,4946,4858,4906.006,308575,340148.25
2020-06-10T09:00:00-03:00,4860,4983,4842,4949.873,399545,344130
2020-06-12T09:00:00-03:00,5093,5116.5,5006,5082.052,381880,343256.75
2020-06-15T09:00:00-03:00,5139.5,5229.5,5083,5133.161,363775,346861.25
