time,open,high,low,close,Volume,Volume MA
2019-12-30T09:00:00-03:00,117120,117710,115800,115952,100085,120294.25
2020-01-02T09:00:00-03:00,117000,119100,116870,118982,168015,122136
2020-01-03T09:00:00-03:00,117770,119410,117000,118561,208580,124611.25
2020-01-06T09:00:00-03:00,117860,118260,116795,117267,225020,128186.5
2020-01-07T09:00:00-03:00,117770,117925,116345,117116,175170,131026.75
2020-01-08T09:00:00-03:00,117220,117890,116090,116503,238670,136879.75
2020-01-09T09:00:00-03:00,117180,117355,115810,116359,223115,142441.25
2020-01-10T09:00:00-03:00,116790,117230,115320,115726,162825,146241
2020-01-13T09:00:00-03:00,116375,117875,116120,117775,177470,148656.25
2020-01-14T09:00:00-03:00,117710,118100,116955,117879,178805,152778.75
2020-01-15T09:00:00-03:00,117650,117665,116525,116757,177660,154259.25
2020-01-16T09:00:00-03:00,117145,117540,116235,116978,173700,154764.5
2020-01-17T09:00:00-03:00,117405,118810,117225,118728,125025,155873
2020-01-20T09:00:00-03:00,118655,119165,118150,119097,83230,153803.75
2020-01-21T09:00:00-03:00,118300,118900,117125,117277,158525,154879.75
2020-01-22T09:00:00-03:00,117715,118660,117710,118565,126900,154611.25
2020-01-23T09:00:00-03:00,118195,119865,117125,119808,210705,159469.75
2020-01-24T09:00:00-03:00,119810,120085,118280,118558,164745,164504.5
2020-01-27T09:00:00-03:00,116500,116890,114460,114618,212805,170823
2020-01-28T09:00:00-03:00,115000,117050,114930,116779,210285,175066.75
2020-01-29T09:00:00-03:00,116980,117390,115270,115451,171040,178614.5
2020-01-30T09:00:00-03:00,114290,115785,112925,115648,216275,181027.5
2020-01-31T09:00:00-03:00,114600,114650,113230,113931,189880,180092.5
2020-02-03T09:00:00-03:00,114450,115500,113600,114903,189055,178294.25
2020-02-04T09:00:00-03:00,116280,116780,115570,115737,156040,177337.75
2020-02-05T09:00:00-03:00,116820,117850,116170,116274,202905,175549.5
2020-02-06T09:00:00-03:00,117000,117540,114775,115189,198570,174322.25
2020-02-07T09:00:00-03:00,115000,115250,113530,113750,179035,175132.75
2020-02-10T09:00:00-03:00,113550,114190,112140,112895,193495,175934
2020-02-11T09:00:00-03:00,113615,115610,113580,115367,188165,176402
2020-02-12T09:00:00-03:00,117050,118410,116310,117394,200450,177541.5
2020-02-13T09:00:00-03:00,116100,116700,115440,116303,194615,178587.25
2020-02-14T09:00:00-03:00,116750,116900,114770,115021,151070,179889.5
2020-02-17T09:00:00-03:00,115510,116390,115305,115939,105110,180983.5
2020-02-18T09:00:00-03:00,114885,115715,114125,115527,140070,180060.75
2020-02-19T09:00:00-03:00,115910,117200,115280,117130,141575,180794.5
2020-02-20T09:00:00-03:00,116750,117175,114875,115090,174615,178990
2020-02-21T09:00:00-03:00,114400,114500,113190,114045,177880,179646.75
2020-02-26T09:00:00-03:00,108800,109135,105480,106261,318625,184937.75
2020-02-27T09:00:00-03:00,104560,107170,103000,103449,405870,194717
2020-02-28T09:00:00-03:00,101355,104960,100335,104252,368350,204582.5
2020-03-02T09:00:00-03:00,103905,107745,103090,107145,282850,207911.25
2020-03-03T09:00:00-03:00,107600,109385,104780,105612,308860,213860.25
2020-03-04T09:00:00-03:00,107500,108500,105365,107677,226575,215736.25
2020-03-05T09:00:00-03:00,105700,106550,100770,102397,268865,221377.5
2020-03-06T09:00:00-03:00,99000,99800,97170,98376,322520,227358.25
2020-03-09T09:00:00-03:00,88540,90855,86080,86080,265855,230722.5
2020-03-10T09:00:00-03:00,90500,92785,87345,92042,322125,237877
2020-03-11T09:00:00-03:00,89505,90660,80540,84848,281695,242287
2020-03-12T09:00:00-03:00,76365,76365,72125,72125,91370,237447.25
2020-03-13T09:00:00-03:00,79335,82940,72600,82679,218060,238327.75
2020-03-16T09:00:00-03:00,74415,76375,70280,70376,194405,238317.25
2020-03-17T09:00:00-03:00,70780,77410,70535,74726,167650,239146.25
2020-03-18T09:00:00-03:00,67300,70250,63520,66597,170655,242423.5
2020-03-19T09:00:00-03:00,66300,70030,61435,67466,198085,245324.25
2020-03-20T09:00:00-03:00,70300,72370,65800,67003,206235,248557.25
2020-03-23T09:00:00-03:00,64295,69990,61905,63099,171300,248391.5
2020-03-24T09:00:00-03:00,67990,71575,66675,69900,140525,246523.75
2020-03-25T09:00:00-03:00,68890,76890,67700,74840,190790,240132
2020-03-26T09:00:00-03:00,72890,78850,72225,77721,177690,228723
2020-03-27T09:00:00-03:00,74860,75800,72510,73050,136100,217110.5
2020-03-30T09:00:00-03:00,73355,75120,72835,74612,105650,208250.5
2020-03-31T09:00:00-03:00,74595,75485,71900,72788,155860,200600.5
2020-04-01T09:00:00-03:00,70000,71560,68835,70893,172815,197912.5
2020-04-02T09:00:00-03:00,72925,74025,71030,72117,203245,194631.5
2020-04-03T09:00:00-03:00,72505,73205,67710,69354,162470,186629
2020-04-06T09:00:00-03:00,72685,75365,72185,74106,159285,181300.5
2020-04-07T09:00:00-03:00,77630,80000,76080,76279,208805,175634.5
2020-04-08T09:00:00-03:00,76990,79165,76125,78707,171135,170106.5
2020-04-09T09:00:00-03:00,78600,80465,77415,77894,201780,175627
2020-04-13T09:00:00-03:00,77500,79315,76320,78893,187910,174119.5
