"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.03.2018","85.655","84.570","86.040","84.320","83,34K","1,78%"
"02.04.2018","84.914","85.525","85.960","84.335","88,69K","-0,87%"
"03.04.2018","84.819","85.315","85.690","84.395","83,22K","-0,11%"
"04.04.2018","84.524","83.550","85.000","82.950","101,98K","-0,35%"
"05.04.2018","85.429","86.380","86.620","85.170","87,92K","1,07%"
"06.04.2018","84.921","84.980","85.350","83.950","107,51K","-0,59%"
"09.04.2018","83.363","85.450","85.475","83.215","89,71K","-1,83%"
"10.04.2018","84.689","83.950","84.800","83.450","86,25K","1,59%"
"11.04.2018","85.312","84.365","85.650","84.165","71,44K","0,74%"
"12.04.2018","85.505","85.855","85.870","85.065","51,84K","0,23%"
"13.04.2018","84.299","85.545","85.710","84.070","86,72K","-1,41%"
"16.04.2018","82.867","84.175","84.665","82.635","92,21K","-1,70%"
"17.04.2018","84.094","83.000","84.220","82.660","80,10K","1,48%"
"18.04.2018","86.000","84.400","86.065","84.315","14,94K","2,27%"
"19.04.2018","86.486","86.525","86.730","85.850","88,03K","0,57%"
"20.04.2018","86.265","86.350","86.595","85.625","61,69K","-0,26%"
"23.04.2018","86.233","86.295","86.445","85.315","76,65K","-0,04%"
"24.04.2018","86.074","86.850","87.290","85.690","99,59K","-0,18%"
"25.04.2018","85.706","85.800","85.985","84.900","88,63K","-0,43%"
"26.04.2018","87.114","86.200","87.370","85.815","71,93K","1,64%"
"27.04.2018","87.041","87.170","87.775","86.820","65,46K","-0,08%"
"30.04.2018","86.560","87.000","87.350","86.260","53,33K","-0,55%"
"02.05.2018","85.062","86.165","86.315","84.870","92,28K","-1,73%"
"03.05.2018","83.776","85.050","85.080","83.610","102,39K","-1,51%"
"04.05.2018","83.735","83.800","84.200","83.100","80,92K","-0,05%"
"07.05.2018","83.131","83.705","84.145","82.950","64,49K","-0,72%"
"08.05.2018","83.492","83.055","83.895","82.580","118,21K","0,43%"
"09.05.2018","84.755","84.050","84.955","83.210","100,80K","1,51%"
